,Threshold_Value,Accuracy,Precision,Recall,F1_Score,Sensibility,Specifity
94,0.47000000000000003,0.9118502381721719,0.427536231884058,0.10101504219151278,0.163418735779998,0.10101504219151278,0.012602265217292241
95,0.47500000000000003,0.9121837834457311,0.43390191897654584,0.09954751131221719,0.16194170894260418,0.09954751131221719,0.012100909277363736
96,0.48,0.9126007150376801,0.4427942794279428,0.0984468631527455,0.16108054027013505,0.0984468631527455,0.011542581071534386
97,0.485,0.9128196041234534,0.44678429140580533,0.09600097835391953,0.15804308435675457,0.09600097835391953,0.011075408491146521
98,0.49,0.9130176466296293,0.4511059371362049,0.09477803595450654,0.15664477008590197,0.09477803595450654,0.010744969348920996
99,0.495,0.9130801863684216,0.45138055222088835,0.09196526843585667,0.15279894341156153,0.09196526843585667,0.01041453020669536
100,0.5,0.9131427261072139,0.45202952029520294,0.0898862663568546,0.1499540956849944,0.0898862663568546,0.010152457783551005
101,0.505,0.9133094987439936,0.4558638083228247,0.088418735477559,0.14811021202499233,0.088418735477559,0.009833413094505583
102,0.51,0.9133928850623834,0.45697522816166886,0.08572826219885044,0.14437236123983116,0.08572826219885044,0.009491579499099845
103,0.515,0.9133094987439936,0.45308310991957107,0.08267090620031796,0.13982831730272002,0.08267090620031796,0.009297873795036549
104,0.52,0.913330345323591,0.45208333333333334,0.0796135502017855,0.13538525527711345,0.0796135502017855,0.00899022355917145
105,0.525,0.9134241549317795,0.45382963493199713,0.07753454812278342,0.13244203049926886,0.07753454812278342,0.008693967776486455
106,0.53,0.9135283878297669,0.4557620817843866,0.07496636908401615,0.12875446334803614,0.07496636908401615,0.008340739727900504
107,0.535,0.913674313886949,0.45952197378565923,0.07288736700501407,0.12581802828794597,0.07288736700501407,0.007987511679314552
108,0.54,0.9137368536257413,0.4607454401268834,0.07105295340589458,0.12311930493748675,0.07105295340589458,0.007748228162530513
109,0.545,0.9137681234951376,0.46046128500823724,0.06836248012718601,0.11905015440315195,0.06836248012718601,0.007463366833025731
110,0.55,0.9138410865237286,0.4620630861040068,0.06628347804818394,0.11593582887700536,0.06628347804818394,0.007189899956701051
111,0.555,0.913976589291112,0.4664310954063604,0.06457135868900575,0.11343860779890429,0.06457135868900575,0.006882249720835842
112,0.56,0.9141016687686968,0.470961887477314,0.06347071052953406,0.11186550274814096,0.06347071052953406,0.006642966204051914
113,0.5650000000000001,0.9141225153482943,0.47113594040968343,0.061880885410297175,0.1093935790725327,0.061880885410297175,0.006472049406348934
114,0.5700000000000001,0.9143101345646713,0.4789272030651341,0.06114711997064938,0.1084481075805227,0.06114711997064938,0.006198582530024366
115,0.5750000000000001,0.91432055785447,0.47873392680514343,0.0591904121315886,0.10535481062255113,0.0591904121315886,0.00600487682596107
116,0.58,0.9143101345646713,0.4772727272727273,0.05649993885288003,0.10103881902679059,0.05649993885288003,0.005765593309177142
117,0.585,0.9142997112748725,0.4760892667375133,0.054787819493701845,0.09826716385172186,0.054787819493701845,0.005617465417834588
118,0.59,0.9142997112748725,0.47519294377067256,0.052708817414699766,0.09489211800968736,0.052708817414699766,0.005423759713771292
119,0.595,0.9143101345646713,0.4748858447488584,0.05087440381558029,0.09190323649618912,0.05087440381558029,0.005241448462888321
120,0.6,0.9144977537810484,0.4846335697399527,0.050140638375932495,0.09087886512246482,0.050140638375932495,0.004967981586563641
121,0.605,0.9145707168096394,0.4883435582822086,0.048673107496636905,0.08852313167259786,0.048673107496636905,0.004751486976140029
122,0.61,0.9145707168096394,0.4880201765447667,0.04732787085728262,0.08628762541806019,0.04732787085728262,0.004626147991157903
123,0.615,0.9146332565484319,0.4915693904020752,0.04634951693775223,0.08471166741171211,0.04634951693775223,0.004466625646635247
124,0.62,0.9147166428668216,0.4966442953020134,0.04524886877828054,0.0829410446088321,0.04524886877828054,0.004272919942571951
125,0.625,0.914779182605614,0.5007012622720898,0.04365904365904366,0.08031496062992126,0.04365904365904366,0.004056425332148339
126,0.63,0.9147687593158152,0.5,0.041946924299865476,0.07740042874873068,0.041946924299865476,0.003908297440805786
127,0.635,0.9148834155036012,0.5083207261724659,0.041090864620276384,0.07603530210454854,0.041090864620276384,0.003703197283562387
128,0.64,0.9148834155036012,0.5087440381558028,0.0391341567812156,0.07267771973654327,0.0391341567812156,0.0035208860326793046
129,0.645,0.9148834155036012,0.5092436974789916,0.03705515470221352,0.06908344733242133,0.03705515470221352,0.0033271803286160084
130,0.65,0.914852145634205,0.506993006993007,0.03546532958297664,0.06629329066178992,0.03546532958297664,0.0032132357968140957
131,0.655,0.9149146853729975,0.5127272727272727,0.03448697566344625,0.06462701959436232,0.03448697566344625,0.00305371345229144
132,0.66,0.9149146853729975,0.5133079847908745,0.03301944478415067,0.062047569803516035,0.03301944478415067,0.0029169800141291002
133,0.665,0.9148625689240037,0.5089820359281437,0.031185031185031187,0.05876930168241531,0.031185031185031187,0.0028030354823271875
134,0.67,0.9149042620831987,0.5138592750533049,0.029472911825853,0.05574832292389544,0.029472911825853,0.002597935325083789
135,0.675,0.9148104524750101,0.5045045045045045,0.027393909746850922,0.0519661292193481,0.027393909746850922,0.002506779699642192
136,0.68,0.9149146853729975,0.5166666666666667,0.026537850067261833,0.05048272653251134,0.026537850067261833,0.002313073995579007
137,0.685,0.9148938387934,0.5149253731343284,0.025314907667848843,0.04825737265415549,0.025314907667848843,0.00222191837013741
138,0.6900000000000001,0.9148625689240037,0.5118733509234829,0.02372508254861196,0.045348293595137916,0.02372508254861196,0.0021079738383354973
139,0.6950000000000001,0.914779182605614,0.5013698630136987,0.022379845909257675,0.042847108405525636,0.022379845909257675,0.002073790478794968
140,0.7000000000000001,0.9148104524750101,0.5056818181818182,0.021768374709551182,0.041739946066361826,0.021768374709551182,0.001982634853353371
141,0.705,0.9148104524750101,0.5061728395061729,0.020056255350372997,0.03858369603576049,0.020056255350372997,0.0018231125088307154
142,0.71,0.9148312990546076,0.5095541401273885,0.0195670783906078,0.03768696266635261,0.0195670783906078,0.0017547457897495455
143,0.715,0.9149042620831987,0.5218855218855218,0.018955607190901308,0.03658248760915742,0.018955607190901308,0.0016180123515872058
144,0.72,0.9149042620831987,0.5229681978798587,0.01809954751131222,0.03498817966903073,0.01809954751131222,0.0015382511793259335
145,0.725,0.9149251086627962,0.5276752767527675,0.017488076311605722,0.033854166666666664,0.017488076311605722,0.0014584900070645501
146,0.73,0.9149251086627962,0.5294117647058824,0.016509722392075335,0.03202087286527514,0.016509722392075335,0.0013673343816230643
